user_id,asset_type,asset_name,ticker,investment_amount,current_value,sector,risk_level,timestamp
1,bond,Prologis Inc,VOO,42337.74,49044.56,Energy,High,2025-04-10
2,bond,iShares Inc,NEE,28855.25,38176.16,Consumer Goods,Medium,2025-04-10
4,stock,P&G Inc,MSFT,8942.4,13395.25,Real Estate,Medium,2025-04-10
1,bond,Google Inc,AMZN,43742.11,50078.22,Utilities,Medium,2025-04-10
7,bond,iShares Inc,TSLA,13390.71,19457.77,Utilities,Medium,2025-04-10
6,stock,Amazon Inc,BND,41657.25,56448.33,Utilities,High,2025-04-10
10,bond,Prologis Inc,BND,28975.76,42661.52,Consumer Goods,High,2025-04-10
7,stock,iShares Inc,XOM,36264.21,48592.18,Technology,High,2025-04-10
8,bond,Microsoft Inc,BND,24086.02,26179.85,Real Estate,Low,2025-04-10
1,ETF,Google Inc,JNJ,27457.61,39167.04,Finance,High,2025-04-10
8,stock,Prologis Inc,PG,40330.1,40142.29,Utilities,High,2025-04-10
9,mutual fund,Prologis Inc,NEE,11245.16,11457.44,Utilities,Medium,2025-04-10
4,bond,Google Inc,JNJ,46595.43,69855.93,Utilities,Low,2025-04-10
6,mutual fund,Apple Inc,PLD,6452.09,9646.55,Finance,High,2025-04-10
7,ETF,iShares Inc,BND,37189.73,37336.34,Finance,High,2025-04-10
7,mutual fund,Microsoft Inc,GOOGL,27604.88,32919.48,Finance,High,2025-04-10
10,bond,Exxon Inc,JNJ,11821.23,14230.01,Utilities,High,2025-04-10
2,ETF,Microsoft Inc,JNJ,38104.85,52486.11,Finance,High,2025-04-10
9,mutual fund,Google Inc,JNJ,4593.63,3738.69,Finance,Low,2025-04-10
8,bond,Microsoft Inc,PG,4713.89,5730.59,Real Estate,High,2025-04-10
9,stock,Vanguard Inc,PLD,6803.55,8138.82,Finance,Low,2025-04-10
8,mutual fund,NextEra Inc,VOO,17254.24,14009.53,Real Estate,Low,2025-04-10
2,mutual fund,NextEra Inc,GOOGL,13680.12,14597.11,Real Estate,High,2025-04-10
4,mutual fund,Tesla Inc,BND,20301.74,19327.56,Finance,High,2025-04-10
2,bond,Exxon Inc,PLD,13356.1,15826.38,Healthcare,High,2025-04-10
10,bond,Johnson Inc,JPM,31932.38,33723.01,Energy,Low,2025-04-10
1,bond,Microsoft Inc,AMZN,47987.02,50689.13,Healthcare,Low,2025-04-10
8,mutual fund,Apple Inc,GOOGL,4480.39,4969.05,Finance,High,2025-04-10
